category,name,latitude,longitude,city,state,osm_url,matched_keyword,km_to_town,review
roadside-oddities,World's Tallest Filing Cabinet,44.455837,-73.217221,Burlington,VT,https://www.openstreetmap.org/node/5170256119,,2.3,
roadside-oddities,Paul Bunyan Tree,43.135958,-70.944342,Durham,NH,https://www.openstreetmap.org/node/2581720749,,1.5,
roadside-oddities,Paul Bunyan & Babe the Blue Ox,44.542467,-70.548499,Rumford,ME,https://www.openstreetmap.org/node/6737377939,,,
roadside-oddities,World's Largest Lobster Trap,44.648972,-67.708151,Addison,ME,https://www.openstreetmap.org/node/11186990578,,4.4,
roadside-oddities,World's Largest Spruce,47.477977,-123.829595,Hoquiam,WA,https://www.openstreetmap.org/node/848925260,,55.5,far from any town
roadside-oddities,World's Largest Egg,46.493327,-122.937891,Winlock,WA,https://www.openstreetmap.org/node/3280903215,,,
roadside-oddities,World's Biggest Frying Pan,46.349034,-124.054282,Long Beach,WA,https://www.openstreetmap.org/node/4003537099,,0.4,
roadside-oddities,World's Largest Oyster,46.666338,-123.810894,South Bend,WA,https://www.openstreetmap.org/node/7903216517,,0.6,
roadside-oddities,Neah Bay Big Chair,48.368772,-124.601439,Forks,WA,https://www.openstreetmap.org/node/12247217710,,49.2,far from any town
roadside-oddities,World's Largest Buffalo,46.889295,-98.698575,Jamestown,ND,https://www.openstreetmap.org/node/4535184087,,2.5,
roadside-oddities,World's Largest Sandhill Crane,46.861697,-99.913138,Steele,ND,https://www.openstreetmap.org/node/6679883646,,0.8,
roadside-oddities,worlds largest bluebird,47.65853,-96.092313,Fosston,MN,https://www.openstreetmap.org/node/8832130003,,27.1,
roadside-oddities,World's Largest Turkey,46.72275,-95.710257,Frazee,MN,https://www.openstreetmap.org/node/8866823289,,0.9,
museums,Paul Bunyan Historical Museum,47.003669,-94.730578,Walker,MN,https://www.openstreetmap.org/node/367068130,,15.4,
roadside-oddities,Paul Bunyan and Babe the Blue Ox Statue,47.470418,-94.878892,Bemidji,MN,https://www.openstreetmap.org/node/4434491138,,,
roadside-oddities,Historic caboose,46.716906,-94.403555,Pequot Lakes,MN,https://www.openstreetmap.org/node/5552516635,,14.6,
roadside-oddities,Lucette Statue (Paul Bunyan's Sweetheart),46.930974,-94.523008,Walker,MN,https://www.openstreetmap.org/node/5635621718,,19.6,
roadside-oddities,World's Largest Tiger Muskie,46.964471,-94.842047,Park Rapids,MN,https://www.openstreetmap.org/node/8839362849,,17.1,
roadside-oddities,World's Largest Penny,45.895118,-89.700177,Woodruff,WI,https://www.openstreetmap.org/node/4723391031,,,
roadside-oddities,"Hiawatha, World's Largest Indian Statue",46.449723,-90.162138,Ironwood,MI,https://www.openstreetmap.org/node/10096037643,,0.9,
roadside-oddities,World's Smallest Covered Bridge,47.328135,-79.813176,Latchford,,https://www.openstreetmap.org/node/11954073174,,,"outside the US (nearest: Temiskaming Shores, CA)"
roadside-oddities,World's Largest Axe,45.994357,-67.232969,,,https://www.openstreetmap.org/node/1279866445,,,"outside the US (nearest: Nackawic, CA)"
roadside-oddities,World's Tallest Tin Soldier,49.200312,-122.910618,,,https://www.openstreetmap.org/node/1749451568,,,"outside the US (nearest: New Westminster, CA)"
roadside-oddities,Bigger Big Chair,48.738238,-122.485014,Bellingham,WA,https://www.openstreetmap.org/node/5289591052,,2.4,
roadside-oddities,World's Largest Pumpkin,49.369173,-97.948369,,,https://www.openstreetmap.org/node/7435128764,,,"outside the US (nearest: Carman, CA)"
roadside-oddities,World's Biggest Gold Pan,64.500439,-165.408315,Nome,AK,https://www.openstreetmap.org/node/1211787561,,0.1,
roadside-oddities,World's Largest Mosquito,63.341491,-143.078154,Tok,AK,https://www.openstreetmap.org/node/13612946319,,4.7,
haunted,Rees Sanitarium,30.1615,-96.39863,Brenham,TX,https://www.openstreetmap.org/node/12454130589,,0.6,
haunted,Original Site of St. Mary's Orphan Asylum,29.26287,-94.83266,Galveston,TX,https://www.openstreetmap.org/node/12403616528,,5.5,
